Class	Name	MPIMP-ID	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF End of stress-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 12h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 36h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Control -EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF End of stress-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 12h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 36h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Heat & Drought-EGF 60h Rewatering-N22	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF End of stress-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 12h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 36h Rewatering-Dular	Spikelet-Control -EGF 60h Rewatering-Dular	Spikelet-Control -EGF 60h Rewatering-Dular	Spikelet-Control -EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF End of stress-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 12h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 36h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Heat & Drought-EGF 60h Rewatering-Dular	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF End of stress-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 12h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 36h Rewatering-Anjali	Spikelet-Control -EGF 60h Rewatering-Anjali	Spikelet-Control -EGF 60h Rewatering-Anjali	Spikelet-Control -EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF End of stress-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali
Acids	Malic acid, 2-methyl-	A148001-101																																								3.6746085																																																																								
Acids	Malic acid, 1-methylester	A139020-101																																																																																																																
Acids	Oxalic acid	A113002-101														45.05797064																														49.22314631												39.35041032																																																								
Acids	Pyruvic acid	A104002-101	1.994210593	0.382157472	2.341343447	1.451251788	0.727937584	0.484101929	0.360240223	2.35394359	0.444381175	1.505611762	2.067967265	0.925779849	0.530853218	0.442141437	0.657875721	0.479951894	0.229594276	1.092641313	0.304323814	1.086301162	1.523828149		0.311301222	1.607583561	0.403657767	0.688600224	0.192100787	1.264616115	0.319167583	1.136783882	1.470869219	0.270740777	1.235304078	0.299804569	0.368260763	1.448157551	0.925103979	1.350814285	0.321831701	1.680183533	1.36155641	2.382706897	0.532394816	1.887689713	2.149288708	0.311091472	0.284605118	1.052448983	0.394419174	0.484006275	0.390601995	1.985250508	0.438486264	0.674975682	0.708302999	1.117672479	2.391746612	1.880632549	0.527518095	1.919209486	0.533221889	0.431271112	1.597934073	1.359431898	2.188830544	0.345286827	1.213503071	2.216313651	1.978175326	1.495630855	0.438552264	2.172753153	1.227400919	0.32064859	0.279502092	0.277337944	1.190437827	2.43793967	0.334653427	1.756435706	0.411843452	1.383230605	0.39871065	2.897124212	0.45402543	1.579243388	0.616442031	1.136000601	0.639833599	1.707214264	2.09561345	0.39990543	2.048973251	0.95118544	1.116509443	0.446215404	1.622311031	1.755312226	0.228739801	1.358541229	0.458824403	1.144586315	1.789206579	0.310969141	0.389665645	0.393140471	1.625114245	0.888581005	0.353990742	1.201698014	0.293735453	2.047470373
Acids	Quinic acid	A185001-101	1.732726863	0.968969985	1.871630742	1.638855388	0.929086063	0.873796716		2.274108085		2.255898994	1.400907683																	1.103243837				0.76737364	1.28768507							1.41574127	1.426661418	1.587127544	0.899418551	2.022389082		0.969265688	0.882239922	1.377522363			0.601402184	1.602951318						1.219441301	0.61652064	1.319077217				1.578580614	1.328947417		1.332072897	1.463581045	1.405111943	1.447218167		1.766795405			0.662377354			2.869154912	1.164593904	1.674412961		2.148191141	1.17651998	3.400758709	0.86634685	2.816348463	0.967127748	1.623009898		1.357161007		0.601553726	2.342983382	0.913814643					1.090643448	1.730053681	0.915575963	1.895938134		1.081450419	1.187123959					1.31843183		
Acids	Salicylic acid	A152003-101		4.431662317		1.585660535	3.760020617		2.602149171	0.253401947	4.169850845	4.024190943	0.108069749	2.020460583	1.620004513	2.448904703			2.00031806	1.547504154	4.894101885	1.697833074	1.562685682	4.275414961	4.604014898	1.655603051	3.209382272		5.02019716	3.498831064	4.143989388	2.653059684		4.219189494	1.732487256	2.03718533	2.531092285		4.374953467	3.965625858	2.355262428	1.507416357	1.050898557	0.094686556	1.843856095	1.190235505			1.213565628	0.058996429	4.205876462		0.16762818	0.787228276	0.053143332	0.12960897	0.060853951	2.00855795	0.10038254	3.003012108	3.035503602		2.151297927	3.535119709	2.799906586		1.9791239	4.910032745	1.782324276	0.869782312	1.865058906	1.743107811		0.111537696			0.035795999			1.91482806	4.729490634	3.057538905	3.479098672	3.209712464	3.588863181		4.283950008		0.044027559	1.524310313	1.783881598	1.986072283		2.91139673	0.906667076	2.280569798		4.189931913			4.382987793	2.773410286	3.857763176				1.744238052			1.523744043			2.299572701	
Acids	Succinic acid	A134001-101	1.522780371	3.426044559	5.733644376	4.864091841	7.997536154	1.910424662	2.439054745	3.881453122	5.921995518	8.312024047	3.709994489	2.336417058	1.359324564	2.598056322	1.329129548	0.673612337	1.012851491	1.642907661	0.651255182	5.358788181	1.953206914	1.928341387	2.932003496	2.643864898	5.435973009	1.08071327	2.030030237	4.261964056	2.929212058	3.108717458	2.184326839	1.53417821	3.943490227	1.978474017	4.241505245	0.27516821	0.932795022	1.59903501	0.226690768	2.219827254	1.351409615	3.403035547	2.36050158	3.034472196	0.960009971	1.607852347	1.629986026	1.412610984	2.69413371	0.683962503	1.016401417	2.351921151	1.325374678	1.970971542	0.263981347	0.64840056	2.50461583	1.984659097	1.738177048	2.60703614	2.691299963	3.402843757	0.981321139	1.814784874	2.341665183	2.442133477	3.904470048	1.225448331	1.787761165	3.658921301	0.543556076	4.999638047	0.277349399	0.345001637	0.269787792	0.257160321	1.408596655	4.474241377	3.116424889	4.284483545	4.760183617	3.62700526	2.147553119	10.49805318	4.614469215	8.621693512	1.010807121	3.317281882	3.078726517	3.928488707	3.042684546	0.937585609	0.16027608	0.806209704	3.296890001	5.614908181	5.540793643	1.77252145	2.054158739	3.474203247	1.439348525	3.450997034	0.712278506	1.295414161	1.728193032	0.634503112	6.519572181	0.544831885	0.68534266	1.944167753	0.508246397	5.719427261
Acids	Succinic semialdehyde	A117007-101																																																							4.672186334																																																									
Acids	Valeric acid, 2-oxo-	A113006-101	3.28923541	3.525326073	3.988665467	3.135343644	3.509539131	2.718790914	2.432721236	3.998077379	3.198628637	4.562721244	5.459030574	8.775875268	2.590988374	3.259629181	3.423107301	4.456766992	2.76809072	3.889778349	3.212686887	2.976905087	6.996198867	6.073712234	3.041324306	3.063181686	3.01349517	7.534965843	2.396229855	3.36327818	2.578122086	2.917896926	3.044667202	2.376252545	3.573244274	2.31223015	2.847195118	5.426862549	4.366197269	5.03809812	3.887456675	2.100548107	4.821820288	4.53425769	3.543639016	4.097164683	2.899410242	3.581264312	3.234471348	2.888421634	3.254275905	2.866823683	2.897786133	3.992874678	2.84871724	3.484919785	4.959610247	4.789014226	3.741709758	3.443246488	2.300266352	3.172416871	2.918159892	2.592447535	13.091031	5.364069346	2.712080974	2.944165446	4.550125953	9.322186232	4.939984742	8.244694494	2.828369304	3.269479826	1.795875432	2.069110524	3.456990065	2.738250463	3.348028081	7.866375065	3.473540826	4.547347102	4.922005928	3.511726488	2.594736492	4.163324293	2.750768912	4.028709365	6.227039126	2.353679783	2.884950802	3.987680747	7.169019292	2.420407615	1.787781371	3.97667514	7.967242467	2.797819418	4.606515504	9.691194219	4.128877502	5.386108411	2.888709042	4.477399254	2.438088391	2.55034329	2.943902618	4.189143701	4.990018184	6.196232994	2.770539051	3.826360385	2.665447409	5.762982443
Acids	Vanillic acid	A178004-101				1.248129932			0.908241868	2.421275883			4.990042375	1.76397367					1.485453358	1.554137686		1.435587873	2.434325306												1.487643897							2.886119531	1.727823068	2.60818346		1.323042474				1.36784166			1.30460974	1.739896963			2.834350194	2.046894155		1.725859102		1.934642133				2.742025143	2.784318539			2.626187494	2.637256253	3.255946753		2.12796222			1.358153908			3.120717727				1.27715327		1.713808583			1.406457016	1.205384016					2.793831057	1.325459648					1.239784587						1.171429053			3.344041628				
Alcohols	Coniferylalcohol, trans-	A194005-101																																								6.783449533				8.735036025				8.179992539													6.083792461																	8.701085756										6.756688198					10.815399																			
Amino Acids	Alanine, 3-cyano-	A138005-101	0.054739866	0.108425063	0.091717131	0.15478912	0.195135968	0.064575255	0.132746488	0.496900767	0.193861891	0.049893468	0.157532401	1.061701423	0.26596184	0.20151058			0.217813435	0.16197476	0.264759482	0.215274099	1.556210745	2.627273193	0.611946361	1.72179514	0.749713305	0.770058705	1.001518051	0.594633592	0.562389588	1.089406411		0.397277119	0.779013473	0.524059137	0.260966583		0.145150948	0.15933926	0.113346842	0.425354188		0.09818356	0.039636487	0.046312044		0.012554082	0.019106076	0.069764655	0.174619621		0.043148675	0.019241238	0.011341945				0.036111541	0.171786501	0.098312489	0.098902021	0.106327138	0.085438917		0.176589013	0.286048046	0.081908583	0.153020992			0.293715883	0.012622724	0.046245718				0.010060125	0.036170371	0.176947752	0.030121295	0.030868722	0.097789617		0.0409575	0.051401295	0.029671142			0.076653636	0.034463896	0.104299339	0.083465785	0.021403535		0.223643898	0.55907509	0.157976571	0.333385057	0.064184085	0.049399732	0.223411076	0.147456874	0.070189058			0.196218164	0.017439109					0.021499282	0.109300066
Amino Acids	Asparagine	A161004-101																					0.672068077		0.385672352	1.354662212	0.296162231		0.412891055	0.57709965	0.30949163	1.211923214			0.575786046							0.854433524				1.252468679																					0.733159609																												0.77781478							0.379144099												
