Class	Name	MPIMP-ID	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Control-Flowering-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-EGFStartofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FLEndofstress-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL12hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL36hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Heat&Drought-FL60hRewatering-N22	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Control-Flowering-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-EGFStartofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FLEndofstress-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL12hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL36hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Heat&Drought-FL60hRewatering-Dular	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Control-Flowering-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-EGFStartofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FLEndofstress-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL12hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL36hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali	Spikelet-Heat&Drought-FL60hRewatering-Anjali
Acids	Glycolic acid	A106002-101	4.621307884	5.002412823	4.037484244	4.778441934	4.607046305	4.512657506	4.673263738	3.668332027	3.800088476	1.148890551	6.998765559	5.027545297	3.986120669	4.426324431	1.911265819	5.201175115	5.200934393	4.859060916	4.526635402	4.28854017	4.448932921	6.085330519	5.508393418	4.589696865	1.850340033	4.476275915	8.348957394	4.825254194	5.827117342	1.372362214	4.175719138	6.405778283	4.85199307	3.754631226	3.829900812	4.680847199	3.510372365	4.260070405	3.901801779	4.341170762	5.044839819	5.122859962	5.184771992	4.901925697	3.618312112	5.321534536	5.476247155	5.121282587	5.507172768	2.272668386	4.518481084	4.807828982	3.296379473	4.672340487	5.126576166	5.977220574	4.6990895	6.843433639	9.107617026	1.762009763	4.924942005	5.071957903	5.315902647	5.500861915	2.206033903	4.779402138	4.801344813	5.088888707	5.282142479	5.592723523	5.402130359	5.25435448	6.682746948	5.234328563	5.877268314	6.585303094	7.659530171	3.780970849	4.205640155	1.373316785	5.885314843	7.514832286	5.376153431	5.471021427	2.171996413	4.580539583	5.007712336	5.491368666	4.759483436	6.286956419
Acids	Homogentisic acid	A182016-101																																																																																										
Acids	Isocitric acid	A182003-101	3.405527899	6.470136969	7.714039334	8.757800643	5.402382976	5.300863322	7.243809077	5.773299857	8.922761012	1.63871398	5.498562284	5.811527593	5.5368322	5.692776586	6.115062914	5.561143593	4.376439405	5.717684648	4.077860419	4.266170856	2.787526555	5.2795593	2.061608584	2.804815114	2.339800308	3.194762507	5.225967259	3.954484308	4.908213358	2.143116746	4.814780206	4.198110992	4.785342738	4.404789008	3.643685671	2.914107492	5.026328068	4.870789796	2.633982741	3.225589288	2.310924405	3.600366578	5.122218301	5.617887971	6.954573104	2.947832678	3.418577887	3.455179495	2.877134048	4.771867983	4.100192812	3.542967987	3.340947182	4.976032955	3.832772259	1.558578365	2.959549521	2.15131743	2.526880432	2.01422768	4.774976777	4.44192499	5.099973288	4.516869035	6.485600533	8.192414801	4.595321146	5.249748053	5.7225089	8.509835357	4.677695026	3.609149675	6.421772699	4.146940051	4.479059783	1.965571411	4.349971216	1.542671454	2.341104223	1.992613092	3.57685747	4.9636956	5.24821101	4.34300583	2.664633883	3.139749025	2.535915846	1.920699536	2.168781873	3.381251727
Acids	Itaconic acid	A135004-101		3.041538493			7.021385887	5.920684335	7.014716192	4.246600424	10.17078769	2.106982106	7.615162764	3.500963109	2.28641057	3.716859462	3.830434252	2.662965218	3.067343768	5.194942853	2.624246133	3.072064442	2.072727958	5.806734007	2.69569279	1.489377957	5.904504221	7.114984125	6.535544938	3.559805322	4.188798339	3.066291078		2.135159968	3.018114464	1.683630868		2.601041346	5.060325648	4.838981247	2.515420499	2.126373629		2.795742964	4.259717581		9.288972085	6.285785307	12.87393475	4.343230407	4.905822061	3.342977602	3.331132888	4.091058078		3.075995298	3.886593083	3.516016733	4.438283929	2.721602829	2.306892703	7.167620418	6.393667998	2.392514523		1.853915065	5.133402879	4.425889552	4.093186374	3.365626366	3.473355912	2.980565097	1.736839089	2.359282104	4.720198431	2.873840598	1.880009309	1.369072049	4.169193489	2.356339399		7.005902644	5.603932954	7.724595045	2.387752054	3.589100972	4.60358432	3.413906916	3.810393077	6.614819576	2.97894983	2.886388975
Acids	Lactic acid	A105001-101	1.889760021	1.328976232	1.622875409	1.647773482	1.801096056	1.657893604	1.231554679	1.08370475	1.326545139	0.822710419	1.443727423	1.530783768	1.448409375	1.699651755	0.793358258	1.411941843	1.753950673	1.788781316	1.005115547	1.41027226	1.986575614	1.707263908	1.574119978	2.423251137	0.92573399	2.527091221	3.847161985	2.119422303	2.582961182	0.820411327	2.301955414	2.86374948	1.863576763	1.502351402	1.719684139	2.739263028	1.323574833	1.921933234	1.80239805	1.930080401	1.38207396	1.094124507	0.993820013	1.006644639	1.434498425	1.341199846	0.975780943	0.747593751	0.958553326	0.977570687	1.490791183	1.159905449	0.886404286	1.127887899	1.462809808	1.50929098	1.43270315	1.410744185	1.654490221	1.053937729	1.857704084	2.338117802	2.016539367	2.391601372	1.162135403	1.630209296	1.347799137	1.337045211	1.67688403	1.562202364	1.573960729	1.699697079	1.484196223	1.984712866	1.730200391	1.76222927	1.496981865	0.854366529	0.931921768	0.940657669	1.032643737	1.553823667	1.432464678	1.252978457	1.066596943	1.71083286	1.440728353	1.440233183	1.38617209	2.141692426
Acids	Malic acid	A149001-101	15.66984053	14.95173747	12.53471545	12.34366149	13.2057124	15.98175405	17.35041875	19.8887906	14.11837577	15.05778304	44.07523164	30.88200821	23.83339027	29.81172264	41.05994876	28.97588344	47.5545326	39.94967315	29.2546629	34.2319513	45.66072971	50.85608637	36.88038011	35.74660824	55.74693405	26.00804601	29.2075064	22.45379901	37.09096259	32.74088581	15.89585052	19.82641285	18.65993571	12.61848926	12.86677771	23.48694655	23.38537541	29.41820778	25.81719642	23.7752604	26.37097315	34.77623503	25.39513311	29.9809739	33.47224405	34.99364763	53.44883445	32.09356581	37.4527753	44.60133437	38.92174008	52.33243163	36.12052134	26.85909844	48.26521962	46.81911148	39.42142658	31.44986	46.26083182	50.24517347	22.58689144	21.30587423	15.05077623	16.3551526	18.5239405	22.0103014	29.09794884	21.48882459	15.30009996	21.08961497	21.96651643	28.26696167	27.03217556	17.55187346	21.62788958	23.4650041	25.49270944	20.67580328	25.70002003	24.88202726	29.17372587	30.25997944	29.25019484	28.53350622	28.47810432	23.07888507	28.19053835	20.23866619	15.43111755	27.20820563
Acids	Malic acid, 2-methyl-	A148001-101	3.5254473	3.115246659	2.568305361	2.450995397	4.37408898	3.071729963	3.134996018	2.265467273	3.223722749	1.361687599	3.354365144	3.332122892	2.720731649	2.442674323	2.442456133	1.807122094	2.824572721	2.281900274	1.439477645	1.867484799	3.359635958	2.869330506	1.88136984	2.258619411	1.442167593	1.831919464	3.172220409	2.468184201	2.436361795	1.330651037	4.98453387	7.974801373	5.093042877	5.702527169	5.717827286	5.798222356	4.363578413	4.83949019	4.550280973	5.119301052	2.960043457	3.739524068	3.344741891	3.037788612	3.03704673	2.467775133	3.755886075	3.584100933	2.450736858	2.260269499	3.525437901	4.959517277	3.273040458	3.261727338	3.468928474	4.177192924	3.873946885	4.134548836	4.727166387	1.45760477	3.960611227	3.87570431	3.584221867	3.815836416	2.344045008	4.033504222	4.792202539	5.358150857	3.857258687	3.732081673	3.135989472	3.360281461	3.697528066	2.87981992	4.034385064	3.373056712	4.405634125	2.755988132	2.662443598	2.556737602	5.269997991	5.626926359	4.556844632	3.717066999	2.51320203	3.001737673	4.676417624	4.720556636	3.165271036	3.811794458
Acids	Malic acid, 1-methylester	A139020-101	0.992594189				1.158795302	1.836655712	1.735963611	1.37010582			2.36094706	2.006980448	1.886211495	1.430709091	1.251226676	1.647787946	2.584916472	2.077043687	1.780146105	1.999576932	2.734274496	2.555175532	2.128777194	2.087176214		1.36031892	2.077094213	1.858619949	2.213450063			1.213249776		1.327372934	1.026432577	1.848304907	1.419273064	1.473728672	1.55611704	1.892450981	1.239329083	1.620158153			1.638168807	1.873728139	2.520666432	2.572324436	2.363570228	1.18477977	1.513407762	2.980364688	1.679407849	1.972263595	2.804988804	2.906888043	2.371003862	2.172621438	2.253643954					1.192050061	1.051538424		1.278450295	1.325269936	1.135592149		1.149010398	1.224328555			1.184196046	1.056721911	1.79950758	0.902267845		1.218139363	0.939707978			1.235781061	1.310978624		1.814386172	1.32060296	1.172695087	1.316483483
Acids	Malonic acid	A122003-101	2.488417225				2.249230711					6.031149977	3.805122033	3.363223132	3.379688003	4.202903051	2.808028906	2.857385291	3.586850955		2.837750953	2.697204666	3.661052098	4.786341534	4.649041786	3.958221309		2.258065166	2.985209244	3.816929514	3.768743346	2.56591173	4.305796796	5.478432267	3.568558187	3.562077125	3.998748041	4.169542001			3.519300152	4.120087628	5.138842196	4.688516763	3.977580011	4.82688224		3.165614382	5.181015643	4.439930298	4.398673115	2.64294755	4.076676015	6.827105767	5.585750975	4.96700955	6.502435016	8.521010403	5.71530038	5.931104817	8.082451076	2.776126548	2.406317492	1.992649864	2.853859211	4.538384079	2.311441473		2.949069369	4.687731676			2.421863758	3.913081265	2.953148612	3.407474848	3.261558957	3.364043639	3.286453453	3.787064219	3.223446833	4.619443757	4.425982047	4.714126327	5.055911271	4.435667602	7.274968062	3.681264068	5.846841788	5.440935355	3.989234549	4.218663418
Acids	Oxalic acid	A113002-101																																																																																										
Acids	Oxomalonic acid	A140023-101															0.679123816										1.010683039						2.474939099	2.563223526	1.449141648	1.496448654	1.947130277	1.449685672		1.205613937	0.927008852	1.038366599	1.188650398							1.292077605		0.530067273	1.206711568	1.706265474	1.400637782	1.306892153		0.940502136		0.986960475				1.148360145																												
